Date	ET
20010203	6.704
20010204	8.236
20010205	4.764
20010206	0.501
20010207	2.166
20010208	0.425
20010209	1.354
20010210	0.674
20010211	1.417
20010212	1.645
20010213	1.016
20010214	0.465
20010215	0.883
20010216	0.712
20010217	0.561
20010218	0.700
20010219	0.905
20010220	0.681
20010221	0.015
20010222	0.165
20010223	0.066
20010224	2.958
20010225	0.917
20010226	0.545
20010227	1.016
20010228	0.631
20010301	1.709
20010302	0.768
20010303	1.300
20010304	1.472
20010305	0.828
20010306	0.481
20010307	0.587
20010308	0.110
20010309	2.623
20010310	2.396
20010311	1.282
20010312	1.151
20010313	0.919
20010314	1.517
20010315	1.290
20010316	0.504
20010317	0.135
20010318	0.671
20010319	2.312
20010320	1.234
20010321	1.021
20010322	0.708
20010323	2.222
20010324	1.657
20010325	1.791
20010326	0.457
20010327	0.101
20010328	0.845
20010329	1.256
20010330	2.637
20010331	2.714
20010401	1.653
20010402	1.153
20010403	1.063
20010404	1.029
20010405	1.037
20010406	0.909
20010407	1.686
20010408	3.193
20010409	0.452
20010410	0.088
20010411	1.640
20010412	0.574
20010413	0.809
20010414	0.775
20010415	0.443
20010416	0.712
20010417	0.496
20010418	0.245
20010419	1.123
20010420	0.582
20010421	0.387
20010422	1.532
20010423	0.822
20010424	0.486
20010425	0.694
20010426	0.726
20010427	0.631
20010428	0.407
20010429	0.822
20010430	1.794
20010501	0.835
20010502	0.501
20010503	0.880
20010504	0.421
20010505	5.408
20010506	2.360
20010507	1.754
20010508	1.619
20010509	1.671
20010510	4.111
20010511	1.704
20010512	0.964
20010513	3.279
20010514	1.645
20010515	1.958
20010516	1.598
20010517	1.282
20010518	4.442
20010519	1.611
20010520	3.994
20010521	3.177
20010522	1.499
20010523	1.383
20010524	1.180
20010525	1.237
20010526	1.820
20010527	3.372
20010528	0.710
20010529	2.344
20010530	1.188
20010531	2.769
20010601	1.882
20010602	1.287
20010603	1.864
20010604	1.396
20010605	0.896
20010606	0.825
20010607	1.159
20010608	9.465
20010609	4.429
20010610	3.254
20010611	2.862
20010612	2.355
20010613	2.853
20010614	1.525
20010615	1.540
20010616	1.921
20010617	1.974
20010618	2.307
20010619	1.843
20010620	2.428
20010621	3.978
20010622	2.793
20010623	2.720
20010624	3.163
20010625	3.328
20010626	3.232
20010627	3.190
20010628	3.660
20010629	5.100
20010630	3.962
20010701	3.325
20010702	3.422
20010703	3.822
20010704	4.257
20010705	4.184
20010706	4.348
20010707	4.617
20010708	4.630
20010709	4.492
20010710	4.432
20010711	4.523
20010712	4.383
20010713	2.516
20010714	3.120
20010715	3.884
20010716	4.015
20010717	4.356
20010718	3.544
20010719	3.571
20010720	3.937
20010721	3.950
20010722	3.745
20010723	3.544
20010724	3.226
20010725	3.051
20010726	2.812
20010727	2.655
20010728	4.305
20010729	3.326
20010730	2.772
20010731	2.519
20010801	2.480
20010802	2.300
20010803	2.046
20010804	2.271
20010805	2.247
20010806	2.192
20010807	1.731
20010808	2.008
20010809	2.219
20010810	3.116
20010811	2.521
20010812	2.816
20010813	2.652
20010814	2.712
20010815	2.590
20010816	2.553
20010817	4.268
20010818	3.608
20010819	3.370
20010820	3.257
20010821	2.876
20010822	2.814
20010823	2.469
20010824	2.859
20010825	2.177
20010826	3.603
20010827	3.425
20010828	2.791
20010829	2.618
20010830	2.298
20010831	2.420
20010901	2.473
20010902	2.970
20010903	3.794
20010904	2.437
20010905	3.325
20010906	3.346
20010907	2.986
20010908	1.868
20010909	1.974
20010910	1.834
20010911	1.903
20010912	2.076
20010913	1.759
20010914	1.285
20010915	1.859
20010916	2.020
20010917	1.913
20010918	1.878
20010919	2.593
20010920	2.265
20010921	1.672
20010922	1.837
20010923	1.685
20010924	1.122
20010925	1.271
20010926	1.740
20010927	1.724
20010928	1.678
20010929	1.451
20010930	1.339
20011001	1.426
20011002	1.246
20011003	1.164
20011004	1.356
20011005	0.425
20011006	0.530
20011007	0.706
20011008	0.986
20011009	1.192
20011010	0.403
20011011	1.658
20011012	0.867
20011013	0.469
20011014	0.266
20011015	0.281
20011016	0.226
20011017	0.201
20011018	0.278
20011019	0.226
20011020	0.280
20011021	0.196
20011022	0.118
20011023	0.496
20011024	0.388
20011025	0.144
20011026	0.214
20011027	0.026
20011028	0.147
20011029	0.156
20011030	0.145
20011031	0.418
20011101	0.291
20011102	0.138
20011103	0.123
20011104	0.136
20011105	0.368
20011106	0.438
20011107	0.340
20011108	0.543
20011109	0.191
20011110	0.102
20011111	0.153
20011112	0.383
20011113	0.106
20011114	0.384
20011115	0.060
20011116	1.198
20011117	2.086
20011118	1.739
20011119	1.627
20011120	0.668
20011121	0.626
20011122	0.553
20011123	1.012
20011124	1.165
20011125	0.732
20011126	0.569
20011127	0.711
20011128	0.895
20011129	1.084
20011130	1.472
20011201	0.517
20011202	0.578
20011203	0.281
20011204	0.004
20011205	0.830
20011206	0.690
20011207	0.318
20011208	0.533
20011209	0.284
20011210	0.375
20011211	0.004
20011212	0.534
20011213	0.977
20011214	0.730
20011215	0.481
20011216	0.504
20011217	0.445
20011218	0.414
20011219	0.323
20011220	0.481
20011221	0.281
20011222	0.487
20011223	0.306
20011224	0.247
20011225	0.250
20011226	0.199
20011227	0.261
20011228	0.073
20011229	0.334
20011230	0.082
20011231	0.022
20020101	0.167
20020102	0.345
20020103	0.259
20020104	0.676
20020105	2.253
20020106	0.849
20020107	0.487
20020108	0.691
20020109	0.390
20020110	0.368
20020111	0.657
20020112	0.393
20020113	0.659
20020114	0.263
20020115	0.486
20020116	0.462
20020117	0.291
20020118	0.234
20020119	0.487
20020120	0.704
20020121	0.239
20020122	0.605
20020123	0.039
20020124	0.479
20020125	0.222
20020126	0.407
20020127	0.320
20020128	0.421
20020129	0.089
20020130	0.130
20020131	1.371
20020201	0.854
20020202	0.679
20020203	1.213
20020204	0.799
20020205	0.245
20020206	0.493
20020207	0.663
20020208	3.336
20020209	2.015
20020210	1.747
20020211	1.169
20020212	1.188
20020213	0.421
20020214	1.636
20020215	1.002
20020216	0.460
20020217	0.666
20020218	0.519
20020219	0.396
20020220	1.384
20020221	1.062
20020222	0.665
20020223	0.383
20020224	0.519
20020225	0.222
20020226	0.525
20020227	1.177
20020228	0.618
20020301	1.044
20020302	1.564
20020303	0.457
20020304	0.632
20020305	0.896
20020306	0.399
20020307	0.682
20020308	0.838
20020309	0.866
20020310	0.721
20020311	1.088
20020312	0.269
20020313	0.457
20020314	1.002
20020315	0.528
20020316	0.180
20020317	0.430
20020318	0.011
20020319	0.682
20020320	2.890
20020321	1.786
20020322	0.524
20020323	0.877
20020324	0.496
20020325	0.820
20020326	0.370
20020327	1.623
20020328	2.065
20020329	0.909
20020330	0.856
20020331	0.514
20020401	1.589
20020402	0.635
20020403	0.259
20020404	0.687
20020405	0.704
20020406	0.593
20020407	2.056
20020408	2.289
20020409	0.678
20020410	1.263
20020411	1.130
20020412	0.584
20020413	3.915
20020414	2.547
20020415	2.370
20020416	1.722
20020417	0.725
20020418	1.209
20020419	0.862
20020420	0.417
20020421	3.000
20020422	1.329
20020423	1.284
20020424	0.498
20020425	0.648
20020426	0.569
20020427	2.595
20020428	0.550
20020429	0.316
20020430	0.858
20020501	0.679
20020502	0.691
20020503	0.551
20020504	0.579
20020505	4.660
20020506	1.446
20020507	0.478
20020508	0.892
20020509	0.261
20020510	0.811
20020511	2.777
20020512	0.759
20020513	0.347
20020514	2.874
20020515	1.759
20020516	0.434
20020517	0.368
20020518	0.159
20020519	0.373
20020520	0.232
20020521	0.355
20020522	0.470
20020523	0.428
20020524	0.055
20020525	0.180
20020526	0.193
20020527	0.157
20020528	0.421
20020529	0.256
20020530	0.425
20020531	0.313
20020601	0.131
20020602	0.468
20020603	1.153
20020604	0.622
20020605	4.116
20020606	3.475
20020607	1.966
20020608	1.347
20020609	1.110
20020610	1.104
20020611	0.613
20020612	0.997
20020613	0.524
20020614	0.031
20020615	1.994
20020616	0.624
20020617	0.002
20020618	0.716
20020619	0.553
20020620	0.801
20020621	0.207
20020622	0.507
20020623	0.559
20020624	0.376
20020625	0.525
20020626	0.279
20020627	0.430
20020628	0.250
20020629	0.256
20020630	0.178
20020701	0.290
20020702	0.345
20020703	0.324
20020704	1.639
20020705	3.274
20020706	3.009
20020707	3.678
20020708	2.370
20020709	1.846
20020710	1.240
20020711	0.940
20020712	0.854
20020713	0.739
20020714	0.603
20020715	0.781
20020716	0.512
20020717	0.668
20020718	0.577
20020719	0.540
20020720	0.614
20020721	0.728
20020722	0.669
20020723	5.618
20020724	6.255
20020725	3.621
20020726	3.169
20020727	5.740
20020728	3.908
20020729	1.905
20020730	1.295
20020731	1.034
20020801	0.987
20020802	1.945
20020803	1.704
20020804	0.861
20020805	0.789
20020806	0.564
20020807	0.537
20020808	0.488
20020809	0.441
20020810	5.158
20020811	4.847
20020812	2.538
20020813	1.739
20020814	1.034
20020815	1.141
20020816	0.914
20020817	1.260
20020818	1.151
20020819	2.101
20020820	3.125
20020821	2.214
20020822	1.290
20020823	0.856
20020824	1.047
20020825	0.579
20020826	0.830
20020827	0.468
20020828	0.527
20020829	5.625
20020830	3.963
20020831	5.382
20020901	3.166
20020902	2.219
20020903	1.548
20020904	1.289
20020905	0.895
20020906	0.973
20020907	0.849
20020908	0.608
20020909	0.512
20020910	0.237
20020911	0.567
20020912	1.000
20020913	3.843
20020914	1.522
20020915	1.209
20020916	0.849
20020917	0.950
20020918	0.815
20020919	4.424
20020920	3.816
20020921	1.997
20020922	1.893
20020923	1.050
20020924	1.174
20020925	1.196
20020926	0.749
20020927	0.781
20020928	0.870
20020929	0.464
20020930	0.874
20021001	2.023
20021002	1.190
